source_id,title,url,type,notes
eu_ai_factories_policy,European Commission — AI Factories,https://digital-strategy.ec.europa.eu/en/policies/ai-factories,official_policy,"Official EU AI Factories overview, list of 19 AI Factories, InvestAI / AI Gigafactories context."
eurohpc_ai_factories,EuroHPC JU — AI Factories,https://www.eurohpc-ju.europa.eu/ai-factories_en,official_program,"EuroHPC AI Factories network, access framing for SMEs and startups."
eurohpc_ai_systems,EuroHPC JU — AI Factories Systems,https://www.eurohpc-ju.europa.eu/ai-factories/ai-factories-systems_en,official_program,"AI Factory systems: LUMI, MeluXina, Leonardo, MareNostrum 5, Discoverer, Vega."
eurohpc_ai2f_press,"EuroHPC JU — Additional AI Factories, March 2025",https://www.eurohpc-ju.europa.eu/eurohpc-ju-selects-additional-ai-factories-strengthen-europes-ai-leadership-2025-03-12_en,official_press_release,"AI2F France, Alice Recoque, GENCI, CEA, CNRS, Inria, French infrastructure details."
eu_ai_act,European Commission — AI Act,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,official_regulation,EU AI Act regulatory framework.
eu_ai_gigafactories,European Commission — AI Gigafactories,https://commission.europa.eu/topics/competitiveness/competitiveness-coordination-tool-projects/ai-gigafactories_en,official_program,EU goal to support large-scale AI compute facilities and high-quality data access.
eu_chips_act,European Commission — European Chips Act,https://digital-strategy.ec.europa.eu/en/policies/european-chips-act,official_policy,EU semiconductor supply-chain resilience and strategic autonomy context.
france2030,French Government — France 2030,https://www.info.gouv.fr/grand-dossier/france-2030-en/understanding-france-2030,official_public_program,French strategic investment context.
mistral,Mistral AI — Official site,https://mistral.ai/,company_official,"Frontier AI models, assistants, agents, services, enterprise AI platform."
huggingface,Hugging Face — Official site,https://huggingface.co/,company_official,"AI community platform for models, datasets, applications."
mistral_hf,Mistral AI official Hugging Face organization,https://huggingface.co/mistralai,platform_profile,Official Mistral AI model distribution channel on Hugging Face.
aleph_alpha,Aleph Alpha — Official site,https://aleph-alpha.com/en/,company_official,Specialized language models and AI solutions for enterprises/public institutions in Europe.
lighton,LightOn — Official site,https://www.lighton.ai/,company_official,Enterprise GenAI/document AI platform.
